district,crime_type,defendant_race,n_cases,mean_sentence,median_sentence
1,Admin of Justice,Black,3,284.6666666666667,264.0
1,Admin of Justice,Hispanic,2,82.5,82.5
1,Admin of Justice,White,1,470.0,470.0
1,Antitrust,White,3,244.02999999999997,360.03
1,Arson,Black,29,236.44827586206895,180.0
1,Arson,Hispanic,9,358.6666666666667,324.0
1,Arson,Unknown,1,276.0,276.0
1,Assault,Black,8,150.875,74.5
1,Assault,Hispanic,7,56.57142857142857,51.0
1,Assault,Unknown,8,53.375,41.5
1,Assault,White,40,67.5,57.0
1,Bribery/Corruption,Black,14,26.869285714285716,18.0
1,Bribery/Corruption,Hispanic,3,30.333333333333332,26.0
1,Bribery/Corruption,Unknown,1,9.0,9.0
1,Bribery/Corruption,White,4,25.25,27.0
1,Burglary/Trespass,Black,68,77.33279411764705,63.0
1,Burglary/Trespass,Hispanic,2,23.0,23.0
1,Burglary/Trespass,Unknown,2,49.0,49.0
1,Burglary/Trespass,White,4,58.0,59.5
1,Embezzlement,Black,893,80.4905039193729,60.0
1,Embezzlement,Hispanic,337,73.36617210682493,54.39
1,Embezzlement,Unknown,20,55.1845,54.0
1,Embezzlement,White,78,63.297948717948714,28.55
1,Environmental,Black,1,22.0,22.0
1,Environmental,Hispanic,1,15.0,15.0
1,Environmental,Unknown,1,90.0,90.0
1,Extortion/Racketeering,Black,10,18.146,3.0
1,Extortion/Racketeering,Hispanic,2,38.0,38.0
1,Firearms,Black,290,82.63631034482758,60.0
1,Firearms,Hispanic,31,95.37548387096774,66.0
1,Firearms,Unknown,4,50.0,53.0
1,Firearms,White,11,97.63909090909091,37.0
1,Forgery,Black,1,33.0,33.0
1,Immigration,Black,35,20.121714285714287,15.0
1,Immigration,Hispanic,3,13.01,12.03
1,Immigration,Unknown,4,15.75,16.0
1,Immigration,White,17,25.06235294117647,24.0
1,Kidnapping,Black,168,37.31184523809524,27.0
1,Kidnapping,Hispanic,38,20.727894736842103,18.5
1,Kidnapping,Unknown,21,24.25,24.0
1,Kidnapping,White,83,33.82807228915663,24.0
1,Larceny,Black,6,17.838333333333335,15.5
1,Larceny,White,3,13.020000000000001,12.03
1,Manslaughter,Black,10,17.512999999999998,13.015
1,Manslaughter,White,1,3.56,3.56
1,Money Laundering,Black,31,17.990322580645163,15.0
1,Money Laundering,Hispanic,8,16.25,19.5
1,Money Laundering,Unknown,5,51.4,46.0
1,Money Laundering,White,16,29.318125000000002,24.0
1,Murder,Black,13,24.156153846153845,18.0
1,Murder,Hispanic,1,10.0,10.0
1,Murder,Unknown,2,28.5,28.5
1,Murder,White,14,26.29214285714286,21.0
1,Obscenity/Other Sex,Black,22,48.51,36.5
1,Obscenity/Other Sex,Hispanic,6,31.948333333333334,36.115
1,Obscenity/Other Sex,Unknown,1,24.0,24.0
1,Obscenity/Other Sex,White,8,52.5,55.0
1,Other,Black,8,218.0,156.5
1,Other,Hispanic,2,48.0,48.0
1,Other,White,29,102.17448275862068,84.0
1,Robbery,Black,66,120.54545454545455,90.0
1,Robbery,Hispanic,20,228.20100000000002,132.5
1,Robbery,White,1,60.0,60.0
1,Tax,Black,14,26.19214285714286,27.5
1,Tax,Hispanic,106,16.141320754716983,12.03
1,Tax,Unknown,11,11.859090909090908,10.0
1,Tax,White,9,45.55,31.0
1,Unknown,Black,527,44.39056925996205,30.0
1,Unknown,Hispanic,86,111.6853488372093,63.5
1,Unknown,Unknown,59,32.160000000000004,15.0
1,Unknown,White,195,51.772615384615385,30.0
2,Assault,Black,2,108.0,108.0
2,Assault,Unknown,1,21.0,21.0
2,Assault,White,7,59.43285714285714,40.0
2,Bribery/Corruption,Black,2,69.5,69.5
2,Bribery/Corruption,Hispanic,1,42.0,42.0
2,Bribery/Corruption,Unknown,1,0.49,0.49
2,Bribery/Corruption,White,11,36.96727272727273,33.0
2,Burglary/Trespass,Black,5,70.6,48.0
2,Burglary/Trespass,White,42,84.14285714285714,58.5
2,Drug Trafficking,White,5,90.4,63.0
2,Embezzlement,Black,184,99.71565217391304,73.5
2,Embezzlement,Hispanic,76,79.71355263157893,60.0
2,Embezzlement,Unknown,25,58.949600000000004,36.0
2,Embezzlement,White,501,54.99035928143713,38.0
2,Environmental,Black,1,12.03,12.03
2,Environmental,White,3,18.419999999999998,18.0
2,Extortion/Racketeering,White,2,3.5,3.5
2,Firearms,Black,40,81.60225,72.0
2,Firearms,Hispanic,20,97.75,85.5
2,Firearms,Unknown,8,36.26625,28.5
2,Firearms,White,315,61.001682539682534,36.0
2,Forgery,White,3,20.666666666666668,24.0
2,Fraud,White,1,16.0,16.0
2,Immigration,Black,2,22.0,22.0
2,Immigration,Hispanic,1,21.0,21.0
2,Immigration,Unknown,1,18.0,18.0
2,Immigration,White,22,19.25318181818182,14.0
2,Kidnapping,Black,34,15.554117647058824,12.03
2,Kidnapping,Hispanic,19,13.686842105263159,12.03
2,Kidnapping,Unknown,9,17.225555555555555,10.0
2,Kidnapping,White,103,21.79407766990291,13.0
2,Larceny,White,16,16.830625,12.03
2,Manslaughter,Black,3,18.666666666666668,24.0
2,Manslaughter,Hispanic,2,7.515,7.515
2,Manslaughter,White,6,19.705,12.0
2,Money Laundering,White,2,26.0,26.0
2,Murder,Unknown,1,2.0,2.0
2,Murder,White,9,17.13888888888889,18.0
2,Obscenity/Other Sex,Unknown,3,17.666666666666668,15.0
2,Obscenity/Other Sex,White,10,23.254,15.015
2,Other,Black,1,138.0,138.0
2,Other,White,41,82.0739024390244,63.0
2,Robbery,Hispanic,2,75.0,75.0
2,Robbery,White,24,53.125,48.5
2,Tax,Black,15,5.576,3.16
2,Tax,Hispanic,118,8.198050847457628,4.13
2,Tax,Unknown,11,1.9945454545454546,1.16
2,Tax,White,34,6.540294117647059,3.6550000000000002
2,Unknown,Black,91,64.79032967032967,40.0
2,Unknown,Hispanic,72,30.485416666666666,11.0
2,Unknown,Unknown,17,31.587058823529414,12.03
2,Unknown,White,369,71.37403794037941,38.0
3,Admin of Justice,Black,1,108.0,108.0
3,Admin of Justice,Hispanic,2,155.0,155.0
3,Admin of Justice,Unknown,1,300.0,300.0
3,Admin of Justice,White,4,168.0,165.0
3,Arson,White,1,240.0,240.0
3,Assault,Black,15,143.53333333333333,135.0
3,Assault,Unknown,1,240.0,240.0
3,Assault,White,21,94.52380952380952,72.0
3,Bribery/Corruption,Black,5,78.2,46.0
3,Bribery/Corruption,Hispanic,1,37.0,37.0
3,Bribery/Corruption,White,7,46.6,32.0
3,Burglary/Trespass,Black,25,95.33319999999999,96.0
3,Burglary/Trespass,Hispanic,10,79.9,70.0
3,Burglary/Trespass,White,84,94.00785714285715,84.0
3,Drug Trafficking,Hispanic,3,242.33333333333334,180.0
3,Drug Trafficking,White,14,85.21428571428571,66.0
3,Embezzlement,Black,494,75.20791497975708,60.0
3,Embezzlement,Hispanic,933,74.13171489817792,60.0
3,Embezzlement,Unknown,84,77.87571428571428,55.5
3,Embezzlement,White,405,66.5000987654321,54.0
3,Environmental,Black,5,72.0,48.0
3,Environmental,Hispanic,2,54.0,54.0
3,Environmental,White,2,46.0,46.0
3,Extortion/Racketeering,Black,4,87.5,94.0
3,Extortion/Racketeering,White,2,15.665,15.665
3,Firearms,Black,233,92.2514592274678,60.0
3,Firearms,Hispanic,148,93.15648648648649,73.5
3,Firearms,Unknown,17,82.06235294117647,57.0
3,Firearms,White,137,101.76788321167884,70.0
3,Immigration,Black,7,17.155714285714286,15.0
3,Immigration,Hispanic,10,9.975,10.0
3,Immigration,Unknown,1,24.0,24.0
3,Immigration,White,17,25.098823529411764,15.0
3,Kidnapping,Black,100,36.6399,27.5
