season,date,visitor,home,visitor_score,home_score
2020,20200723,SF,LAD,1,8
2020,20200723,NYY,WSH,4,1
2020,20200724,MIL,CHC,0,3
2020,20200724,DET,CIN,1,7
2020,20200724,SF,LAD,1,9
2020,20200724,ATL,NYM,0,1
2020,20200724,MIA,PHI,5,2
2020,20200724,ARI,SD,2,7
2020,20200724,PIT,STL,4,5
2020,20200724,BAL,BOS,2,13
2020,20200724,MIN,CWS,10,5
2020,20200724,KC,CLE,0,2
2020,20200724,SEA,HOU,2,8
2020,20200724,LAA,OAK,3,7
2020,20200724,TOR,TB,6,4
2020,20200724,COL,TEX,0,1
2020,20200725,MIL,CHC,8,3
2020,20200725,DET,CIN,6,4
2020,20200725,SF,LAD,5,4
2020,20200725,ATL,NYM,5,3
2020,20200725,MIA,PHI,1,7
2020,20200725,ARI,SD,1,5
2020,20200725,PIT,STL,1,9
2020,20200725,NYY,WSH,2,9
2020,20200725,BAL,BOS,7,2
2020,20200725,MIN,CWS,3,10
2020,20200725,KC,CLE,3,2
2020,20200725,SEA,HOU,2,7
2020,20200725,LAA,OAK,4,1
2020,20200725,TOR,TB,1,4
2020,20200725,COL,TEX,3,2
2020,20200726,MIL,CHC,1,9
2020,20200726,DET,CIN,3,2
2020,20200726,SF,LAD,3,1
2020,20200726,ATL,NYM,14,1
2020,20200726,MIA,PHI,11,6
2020,20200726,ARI,SD,4,3
2020,20200726,PIT,STL,5,1
2020,20200726,NYY,WSH,3,2
2020,20200726,BAL,BOS,7,4
2020,20200726,MIN,CWS,14,2
2020,20200726,KC,CLE,2,9
2020,20200726,SEA,HOU,7,6
2020,20200726,LAA,OAK,4,6
2020,20200726,TOR,TB,5,6
2020,20200726,COL,TEX,5,2
2020,20200727,CHC,CIN,8,7
2020,20200727,MIL,PIT,6,5
2020,20200727,ARI,SD,2,6
2020,20200727,TOR,WSH,4,1
2020,20200727,NYM,BOS,7,4
2020,20200727,KC,DET,14,6
2020,20200727,SEA,HOU,5,8
2020,20200727,LAA,OAK,0,3
2020,20200727,ATL,TB,5,14
2020,20200728,CHC,CIN,8,5
2020,20200728,MIL,PIT,6,8
2020,20200728,SD,SF,5,3
2020,20200728,TOR,WSH,5,1
2020,20200728,SEA,LAA,2,10
2020,20200728,NYM,BOS,8,3
2020,20200728,CWS,CLE,3,4
2020,20200728,CWS,CLE,3,5
2020,20200728,KC,DET,3,4
2020,20200728,LAD,HOU,5,2
2020,20200728,STL,MIN,3,6
2020,20200728,COL,OAK,8,3
2020,20200728,ATL,TB,2,5
2020,20200728,ARI,TEX,4,1
2020,20200729,TB,ATL,4,7
2020,20200729,CHC,CIN,7,12
2020,20200729,BOS,NYM,6,5
2020,20200729,MIL,PIT,3,0
2020,20200729,SD,SF,6,7
2020,20200729,TOR,WSH,0,4
2020,20200729,SEA,LAA,10,7
2020,20200729,NYY,BAL,9,3
2020,20200729,CWS,CLE,4,0
2020,20200729,KC,DET,4,5
2020,20200729,LAD,HOU,4,2
2020,20200729,STL,MIN,0,3
2020,20200729,COL,OAK,5,1
2020,20200729,ARI,TEX,4,7
2020,20200730,LAD,ARI,6,3
2020,20200730,TB,ATL,1,2
2020,20200730,BOS,NYM,4,2
2020,20200730,SD,SF,12,7
2020,20200730,TOR,WSH,4,6
2020,20200730,SEA,LAA,8,5
2020,20200730,NYY,BAL,8,6
2020,20200730,KC,DET,5,3
2020,20200730,CLE,MIN,2,0
2020,20200731,LAD,ARI,3,5
2020,20200731,NYM,ATL,10,11
2020,20200731,PIT,CHC,3,6
2020,20200731,SD,COL,8,7
2020,20200731,TEX,SF,2,9
2020,20200731,HOU,LAA,9,6
2020,20200731,TB,BAL,3,6
2020,20200731,CIN,DET,2,7
2020,20200731,CWS,KC,3,2
2020,20200731,CLE,MIN,1,4
2020,20200731,BOS,NYY,1,5
2020,20200731,OAK,SEA,3,5
2020,20200801,LAD,ARI,11,2
2020,20200801,NYM,ATL,1,7
2020,20200801,PIT,CHC,3,4
2020,20200801,SD,COL,1,6
2020,20200801,TEX,SF,3,7
2020,20200801,HOU,LAA,4,5
2020,20200801,TB,BAL,4,5
2020,20200801,CWS,KC,11,5
2020,20200801,CLE,MIN,0,3
2020,20200801,BOS,NYY,2,5
2020,20200801,OAK,SEA,3,2
2020,20200802,LAD,ARI,3,0
2020,20200802,NYM,ATL,0,4
2020,20200802,PIT,CHC,1,2
2020,20200802,SD,COL,6,9
2020,20200802,TEX,SF,9,5
2020,20200802,HOU,LAA,6,5
2020,20200802,TB,BAL,1,5
2020,20200802,CIN,DET,4,3
2020,20200802,CIN,DET,4,0
2020,20200802,CWS,KC,9,2
2020,20200802,CLE,MIN,1,3
2020,20200802,BOS,NYY,7,9
2020,20200802,OAK,SEA,3,2
2020,20200803,NYM,ATL,7,2
2020,20200803,KC,CHC,0,2
2020,20200803,CLE,CIN,2,3
2020,20200803,SF,COL,6,7
2020,20200803,CWS,MIL,6,4
2020,20200803,LAD,SD,4,5
2020,20200803,PIT,MIN,4,5
2020,20200803,PHI,NYY,3,6
2020,20200803,OAK,SEA,11,1
2020,20200804,HOU,ARI,8,2
2020,20200804,TOR,ATL,1,10
2020,20200804,KC,CHC,4,5
2020,20200804,CLE,CIN,4,2
2020,20200804,SF,COL,2,5
2020,20200804,CWS,MIL,3,2
2020,20200804,LAD,SD,5,2
2020,20200804,NYM,WSH,3,5
2020,20200804,MIA,BAL,4,0
2020,20200804,PIT,MIN,3,7
2020,20200804,TEX,OAK,1,5
2020,20200804,LAA,SEA,5,3
2020,20200804,BOS,TB,1,5
2020,20200805,HOU,ARI,7,14
2020,20200805,TOR,ATL,2,1
2020,20200805,SF,COL,4,3
2020,20200805,NYY,PHI,7,11
2020,20200805,NYY,PHI,3,1
2020,20200805,MIN,PIT,5,2
2020,20200805,LAD,SD,7,6
2020,20200805,NYM,WSH,3,1
2020,20200805,MIA,BAL,1,0
2020,20200805,MIA,BAL,2,1
2020,20200805,MIL,CWS,1,0
2020,20200805,CIN,CLE,0,2
2020,20200805,CHC,KC,6,1
2020,20200805,TEX,OAK,4,6
2020,20200805,LAA,SEA,6,7
2020,20200805,BOS,TB,5,0
2020,20200806,HOU,ARI,4,5
2020,20200806,TOR,ATL,3,4
2020,20200806,SF,COL,4,6
2020,20200806,NYY,PHI,4,5
2020,20200806,MIN,PIT,5,6
2020,20200806,MIA,BAL,8,7
2020,20200806,MIL,CWS,8,3
2020,20200806,CIN,CLE,0,13
2020,20200806,CHC,KC,2,13
2020,20200806,TEX,OAK,4,6
2020,20200806,LAA,SEA,6,1
2020,20200807,SF,LAD,2,7
2020,20200807,CIN,MIL,8,3
2020,20200807,MIA,NYM,4,3
2020,20200807,DET,PIT,17,13
2020,20200807,ARI,SD,0,3
2020,20200807,BAL,WSH,11,0
2020,20200807,TOR,BOS,3,5
2020,20200807,CLE,CWS,0,2
2020,20200807,MIN,KC,2,3
2020,20200807,HOU,OAK,2,3
2020,20200807,COL,SEA,8,4
2020,20200807,NYY,TB,0,1
2020,20200807,LAA,TEX,3,4
2020,20200808,SF,LAD,5,4
2020,20200808,CIN,MIL,4,1
2020,20200808,MIA,NYM,4,8
2020,20200808,ATL,PHI,0,5
2020,20200808,DET,PIT,11,5
2020,20200808,ARI,SD,3,2
2020,20200808,BAL,WSH,5,3
2020,20200808,TOR,BOS,2,1
